i,tweet,countnoun,countverb,countadj,countadp,countadv,countnum,countaux,countconj,countdet,countintj,countpart,countpron,countpropn,countpunct,countsconj,countx,sentiment_polarity
17,dear delhi get vote loksabhaelections2019,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
18,n n 23 n n votemaadi getinked loksabhaelections2019,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0
19,rahulgandhi arvindkejriwal yadavakhilesh mayawati yadavtejashwi n n evm,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
20,n n n n loksabhaelections2019 n tuesdaythoughts,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0
21,odisha polling official booth number 41 kantapal village dhenkanal passes away collapsing,4,3,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0.0
22,vinodchavdabjp n loksabhaelections2019 n namoagain narendramodi ji n phirekbaarmodisarkar,3,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0.0
23,west bengal man standing queue vote killed clashes congress tmc workers baligram murshidabad loksabhaelections2019,8,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.2
24,n n n n vote4india n loksabhaelections2019,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
25,loksabhaelections2019 n myvoteforcongress n chowkidarchorhai n __,3,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0
26,n narendramodi gopimaniar n votinground3 phase3 loksabhaelections2019 n reporterdiary,4,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0
27,odisha polling official booth number 41 kantapal village dhenkanal passes away collapsing duty loksabhaelections2019 odishaelections2019,7,3,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0.0
28,today morning voted pm sh narendramodi ji dream newindia well voted bjp candidate sh crpaatil ji n n amitshah chitraaum rubikaliyaquat nishantchat anjanaomkashyap devanshijoshi71 sandhyapanchal_ drrutvij n loksabhaelections2019 n vote4bjp,15,3,1,1,1,0,0,0,1,0,0,0,4,0,0,1,0.0
29,votekar loksabhaelections2019 aayegatomodihi,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
30,n ni castle vote n n loksabhaelections2019 votekar,3,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0
31,know removed chowkidar twitter handle says udit raj asked removed chowkidar name twitter loksabhaelections2019 uditraj newshtn,9,4,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0
32,voting turnout percentage recorded till 3 pm 26 ls seats gujarat npatan 43 82 nporbandar 34 53 nrajkot 40 69 nsabarkantha 43 30 nsurat 37 43 nsurendranagar 34 77 nvadodara 44 75 nvalsad 46 39 n loksabhaelections2019 gujaratelections2019 tv9news,12,3,1,1,1,18,0,0,0,0,0,0,2,0,0,0,0.0
33,loksabhaelections2019 wife amp siya 2 5 years went voting siya also want nail paint tell booth lady,10,4,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0.0
34,aayegatomodihi loksabhaelections2019 ntoday drawn rangoli front house nbharath modi ji ke sath,6,2,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0
35,journalists defend integrity sanctity evms essential duty either disprove bjp beneficiary almost malfunctioning evms using data apologise publicly speaking writing without knowing,10,6,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0.0
36,polling underway third phase loksabhaelections2019 n nvoter turnout 3 00 pm n n phase3,6,1,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0.0
37,loksabhaelections2019 namofornewindia ___ ___,4,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0.0
38,priyankagandhi ahmedpatel n kapilsibal shashitharoor n jm_scindia rajbabbarmp n ceoup ecisveep spokespersoneci n elections2019 n loksabhaelections2019 n scjudgments __ rahulgandhi,8,1,1,0,0,0,0,0,2,0,0,0,3,0,0,0,0.0
39,voting right duty responsibility n ndo future democracy n nvideo courtesy redchilliesent n n phase3 votinground3 loksabhaelections2019 novotertobeleftbehind generalelection n n iamsrk,11,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14285714285714285
40,polling underway third phase loksabhaelections2019 n nvoter turnout 3 00 pm n n phase3,6,1,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0.0
41,350 evm n n n n ecisveep supriya23bh ashishdua_inc iyc loksabhaelections2019 votinground3 phase3,6,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0.0
42,dear indians choose wisely every single vote write script new india n n votekar aayegatomodihi sunnydeol loksabhaelections2019 rahulgandhibaklolhai,7,3,4,0,1,0,0,0,1,0,0,0,0,0,0,0,0.25497835497835497
43,indiavotes polling stopped booth number 151 kovalam kerala n vvpat shows votes registered lotus n n loksabhaelections2019 getinked phase3,10,4,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.0
44,2014 2017 2019 n n narendramodi roadshow loksabhaelections2019 gujarat electioncommission,4,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0.0
45,odisha union minister dharmendra pradhan casts vote polling booth talcher odishaelections2019 loksabhaelections2019,10,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0
46,n narendramodi n loksabhaelections2019 n aayegatomodihi n bharatbolenamonamo,2,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0.0
47,polling underway third phase loksabhaelections2019 n nvoter turnout 3 00 pm n n phase3,6,1,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0.0
48,loksabhaelections2019 phase3 votinground3 n n,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
49,ceo_goa government people,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
50,n loksabhaelections2019 n votinground3,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0.0
51,100 voter turnout recorded place gujarat n n loksabhaelections2019 electionswithtv9 gujaratelections2019,5,1,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0.0
52,loksabhaelections2019 voting puneloksabhaconstituencies pune ivoted,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
53,officials really said bad action taken people taken action,4,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,-0.07499999999999996
54,1 2 men seen running away n2 lady alleges tmc men pulled sari told go back amp vote n3 man says asked go back n nthis cooch behar westbengal dance democracy hats reporter though loksabhaelections2019,13,10,5,1,3,2,0,0,0,0,0,0,0,0,0,0,0.0
55,congressdeshkishaan myvoteforcongress loksabhaelections2019,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
56,vote n n bharatbolenamonamo n loksabhaelections2019 n vote4modi n votekar n vote4bjp n votekaro n voteforchange n voteforindia,7,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0.0
57,mother vadresa aka drag queen aka priyankagandhi chickens frm contesting namo varanisi says pag,8,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,-0.1
58,disheartening narendra modi contest kerala modis lack confidence contest kerala shows even doesnt believe modi wave india dear arunjaitley filing nomination papers,14,4,2,0,2,0,0,0,0,0,0,0,0,0,0,1,0.0
59,drrizwanahmed1 narendramodi,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
60,_ modiinvaranasi modiwave aayegatomodihi _____,4,1,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0.0
61,live modiwave massive roadshow pm modi begins address varanasi tune watch,7,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06818181818181818
62,live updates narendramodi 17 2014,1,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0.13636363636363635
63,pbhushan1 pranam prashant sir hadnt voted namo 14 trapped bluffs ak amp co even donated 75 salary aamaadmiparty time voted namo transformation documented book modiagain give try,14,6,3,1,2,2,0,0,0,0,0,0,0,0,0,0,-0.2
64,unapologetic strong image narendra modi ji giving liberals leftist acidic heart burns loving pride pm,8,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3277777777777778
65,free elections bjp win 40 seats party leader modi via thewire_in,6,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0.6000000000000001
66,modi govt dissed anti women liberals thread progressive initiatives govt directly indirectly helped help indian women across regions religions income levels last 5 years times come,12,7,3,1,2,1,0,0,0,0,0,0,0,0,0,0,0.05
67,watching pm narendramodi roadshow varanasi emotional connect electorate visible national leader enjoying adulation masses rarity greatest achievement making indians proud indian besides focus digital physical infra,9,5,9,1,0,0,0,0,0,0,0,0,0,0,0,2,0.3833333333333333
68,massive road show pm narendramodi ji kashi watch live,5,0,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0.06818181818181818
69,sound shankh varanasi banks ganga echoing around farthest corners country narendramodi isnt political figure blessing great land bharat modiinvaranasi,11,2,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0.4000000000000001
70,modi wave modi wave length whole india connected narendramodi,7,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2
71,someone like rssurjewala upset pm modijis interview akshay kumar following pic eye opener,10,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0
72,5 think india already decided throw narendramodi tried murder elections hanged balls,6,4,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0.0
73,inspired icons committed lives working hard amp striving mental amp physical strength day faces amp body language reflect inner poise peace comes discipline narendramodi pmoindia akshaykumar,13,8,4,0,1,0,0,0,0,0,0,0,0,0,0,0,-0.09791666666666668
74,pm narendra modi varanasi pulwama mein unhone hamare 40 jawano ko shaheed kiya tha iss hamle ke baad usi kshetra mein ab tak 42 aatankwadiyon ko thikaane lagaya ja chuka hai yeh hamara kaam karne ka tareeka hai,24,2,3,3,1,2,0,0,0,0,0,0,1,0,0,2,0.0
75,kashibolenamonamo deendayal hastkala sankul inaugurated pm modi helping artisans craftsmen amp,7,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
76,kashibolenamonamo two cancer hospitals inaugurated pm modi would make varanasi new centre cancer treatment,7,4,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0.13636363636363635
77,pm narendramodi 5 phirekbaarmodisarkaar,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0.0
78,modiwave pm modi darbhanga bihar people problem bharat mata ki jai amp vande mataram fact check 1 bjp spokesperson naveen kumar singh cannot sing vande mataram live debate,13,6,4,0,3,1,1,0,0,0,0,0,0,0,0,1,0.13636363636363635
79,bigbraking yadavakhilesh mayawati narendramodi kashibolenamonamo varanasi namofornewindia 20 05 20 06 tl,6,1,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0.0
80,genes alcohol genes get modified make gmos non gmo label vodka tells exactly thursdaythoughts gmoanswers peelbacklabel,9,4,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0.25
81,rt reaches modi virodhis,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0
82,ashokepandit narendramodi money thrown everywhere,1,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0
83,know right remove avg sort data option make obvious indians become 10 times safer modi regime govt actively amp effectively taking steps curb terrorism completely,10,8,3,0,3,1,0,0,0,0,0,0,0,0,0,0,0.17047619047619048
84,seen prime ministers since indira gandhi never seen kind passion frenzy narendra modi arouses people given rise unapologetic indian wears nationalism proudly chest,9,6,5,1,2,0,0,0,0,0,0,0,0,0,0,0,0.7
85,thank sir narendramodi,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
86,traffic jam priyanka gandhis road show kids asked win elections time hear reaction pm narendramodi realize congress decided field ajay rai varanasi kashibolenamonamo varanasi,18,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.8
87,kavita_tewari narendramodi meenakshisharan davidfrawleyved watch intensity modijis face singing gangaaarti super emotional moment amp filled joy love sanatanadharma biggest reason narendramo,12,3,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0.4066666666666666
88,india hasnt kept nuclear bomb diwali obvious pakistans kept eid either dont know pm modi must stoop low amp reduce political discourse,8,8,5,0,2,0,0,0,0,0,0,0,0,0,0,0,0.0
89,narendramodi 25 2019 3,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0.0
90,modi returns prodigal son far right india,3,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0.19285714285714284
91,time change india top bottom giving vote narendramodi ji namoagain,7,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5
92,bharatkagarvmodi narendramodi ji aayegatomodihi,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
93,mavalloksabha _ loksabha parthformaval votinground3 votekar,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
94,mavalloksabha _ loksabha parthformaval votinground3 votekar,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
95,thirdphaseofvoting narendramodi bjp congress,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
96,loksabhaelections2019 phirekbaarmodisarkar,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
97,narendramodi bjp4india votinground3 loksabhaelections2019 namokovotekaro,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
98,vinodchavdabjp loksabhaelections2019 namoagain narendramodi ji phirekbaarmodisarkar,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
99,narendramodi gopimaniar votinground3 phase3 loksabhaelections2019 reporterdiary,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
100,today morning voted pm sh narendramodi ji dream newindia well voted bjp candidate sh crpaatil ji amitshah chitraaum rubikaliyaquat nishantchat anjanaomkashyap devanshijoshi71 sandhyapanchal_ drrutvij loksabhaelections2019 vote4bjp,15,3,1,1,1,0,0,0,2,0,0,0,3,0,0,1,0.0
101,votekar loksabhaelections2019 aayegatomodihi,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
102,castle vote loksabhaelections2019 votekar,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
103,aayegatomodihi loksabhaelections2019 today drawn rangoli front house bharath modi ji ke sath,7,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
104,dear indians choose wisely every single vote write script new india votekar aayegatomodihi sunnydeol loksabhaelections2019 rahulgandhibaklolhai,7,3,4,0,1,0,0,0,1,0,0,0,0,0,0,0,0.25497835497835497
105,2014 2017 2019 narendramodi roadshow loksabhaelections2019 gujarat electioncommission,4,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0.0
106,narendramodi loksabhaelections2019 aayegatomodihi bharatbolenamonamo,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
107,vote bharatbolenamonamo loksabhaelections2019 vote4modi votekar vote4bjp votekaro voteforchange voteforindia,6,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0.0
108,chintamanispeaks elections2019 election_in first confirm rahul losing amethi rattled congress badly analysts making bold following lead confirming raga loses amethi congress wont cross 50,9,7,2,1,2,1,1,0,0,0,0,0,2,0,0,0,-0.06944444444444442
109,one boldest decisions election making sadhvi prajya singh thakur candidate digvijay singh hundred pranams pm modi amp sri amit shah historic decision bhopal civilizational duty fulfill hindus around world,16,3,6,1,0,2,0,0,1,0,0,0,0,0,0,0,0.0
110,modi crosses century rallies 2019elections,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
111,narendramodi even bring crowd paying 500 per head sending vans pick people houses,6,4,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0.0
112,modi pakistani agent would first one take _____ mouth,4,2,2,0,1,1,0,0,2,0,0,0,1,0,0,0,0.25
113,narendramodi justmodi modihiaayega delhiwithmodi,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
114,bjp4india narendramodi,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0
115,retd vice admiral lambasts pm modi ins viraat allegation claims rajiv gandhi official visit,9,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
116,computerbaba3 digvijaya_28 incindia narendramodi aajtak zeenews,3,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0
117,gst narendramodi sanjayazadsln,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
118,modiji accuses rajiv gandhi using ins viraat family vacation shocking true compare selfless pm modiji spent 2021cr public money touring name foreign policy took whole country ride,14,7,6,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.1125
119,awaited interview pm narendramodi exclusively zeenews viewers pm modi really started packing bags opponents daydreaming,7,5,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0.2
120,saying neech bhasmasur maut ka saudagar naamard boti boti kar denge asking pakistan remove pm narendramodi navjot singh sidhu openly speaks rally chowkidar ko niptane aaya hoon narendra modi ko thokne aaya hoon cc bjp4india amitshah,23,5,4,0,2,0,0,0,0,0,0,0,0,0,0,2,0.0
121,sudhirchaudhary narendramodi zeenews,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
122,deshkishaanmodi,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
123,nitin_gadkari indiabolemodiphirse,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
124,mr modi turned habitual liar fact eminent personalities like vice admiral retd vinod parischa set records straight shows vile nature modi lies downgrading indian political discourse shameful sabsebadajhootamodi,13,6,6,1,1,0,0,0,0,0,0,0,0,0,0,1,0.1
125,1984 3 rajivgandhichorhai rahulgandhi,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0.0
126,gen_vksingh deshkishaanmodi,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0.0
127,care patients swallowing chewing difficulties watch new video need prevent harm eliminating imprecise terms soft diet describe texture thickness modified food bda_dietitians rcslt iddsi_org,13,6,3,0,1,0,0,0,0,0,0,0,1,0,0,0,0.11818181818181818
128,12 2 firekbarmodisarkar deshkishaanmodi,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0.0
129,pm modi rahul gandhi explaining according major issues india facing pm wants interview transeseses hindi english,7,5,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0.08750000000000001
130,modi ji please look policies done sunaina nyay tribute courage equanimity nyay break shackles poverty nyay transform lives sunaina amp millions like,15,5,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0.0
131,modihiaayega,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
132,modi fumbles talking without teleprompter called pappu become ariticulate crystal clear talks times changed,7,4,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0.10000000000000002
133,modiji point would never use indian warships take laws anywhere,4,3,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0.0
134,kanwal different arnab apart arnab barking skills investigative journalist find leads modi scams demonetisation pnb scam mudra loan scam sahara birla diaries rafale digs 1987 ins viraat naval officers within 12 hours,20,3,5,1,1,2,0,0,0,0,0,0,0,0,0,0,0.0
135,one_by_two knew indian navy warship called ins virat news thanks modiji know nehru gandhis used warships personal trip boats thursdaysthrowback,13,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1
136,supriya_sule kanchankool baramati everyvoteformodi,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
137,election prove turning point indias rise world pm narendramodi ji read full interview modi ji talks young voters poll prospects national security deshkishaanmodi,16,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0.22499999999999998
138,mamataofficial lost totally first threatens slap modi says elections scorching heat modi plot,5,4,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0.25
139,today cabinet minister sh nitin_gadkari ji interacted business community amritsar leadership modi ji prioritiesed ease business one key goals appealed everyone vote nda modihiaayega puriforamritsar,14,4,1,1,0,1,0,0,1,0,0,0,3,0,0,0,0.0
140,use warships vacations nehru gandhi family pm modi quotes limited rajiv gandhi misusing friends amp italian family started nehru indira amp young rajiv amp sanjay vacationing aboard ins delhi voyage indonesia 1950,19,7,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0.009523809523809526
141,ranaayyub tweet modi resign,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
142,ek commie dost ki logic pichle 5 saal se sabse jyada garmi badhi hai aur modi ji lic office ac ni de rha wah sounds like mai single hun aur modi ji mujhe abhi tak ek bf ni diya nota vote dalungi ps lic employee,25,4,3,2,2,1,0,0,0,0,0,0,0,1,0,7,-0.07142857142857142
143,vikasbha narendramodi pmmodionabp,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
144,narendramodi,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0
145,1984 nitin_gadkari deshkishaanmodi,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0
146,delhi lets run 4 narendramodi ji 9th may 5 pm central park inner circle cp new delhi shri rammadhavbjp ji amp smt smritiirani ji flag run shri kapilmishra_ind amp young benguluru south mp candidate tejasvi_surya lead run modifiedvikas modioncemore,19,5,9,0,1,2,0,0,0,0,0,0,1,0,0,2,0.05909090909090909
147,narendramodi,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0
148,vice admiral vinod pasricha dismissed claims narendramodi rajivgandhi used naval warship private taxi desperate attempt mislead voters last two phases work mr narendramodi sabsebadajhootamodi,15,2,5,0,0,1,0,0,0,0,0,0,0,0,0,1,-0.19999999999999998
149,reasons atul cry foul nehru period foundation laid daddy born indira period born rajiv period groomed mms period supposedly made comedian modi period got exposed mistake mistaken funny,10,9,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0.25
150,shri gautamgambhirs vision east delhi deshkishaanmodi,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
151,life better 5 years ago man modi came power personal life better really matter indian air force bombing target life voting improve vote us shashitharoor incindia,15,2,4,0,3,1,0,0,0,0,0,1,0,0,0,0,0.3
152,himalayanzen 5forty3 smritiirani see reason loose amethi need change deliver may 23 tk cr bro,8,4,1,0,0,2,0,0,0,0,0,0,0,0,0,0,-0.07692307692307693
153,pm shri narendramodi addressing public meeting dindori maharashtra bharatbolenamonamo,7,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
154,man asks bjp spokesperson bjp planning win elections hinduvad amp aatankvad even concerned small traders rubikaliyaquat rescue wait big news mamata banerjee said slap modi 8 35 mins 1 2,15,5,4,0,1,4,0,0,0,1,0,0,0,0,0,0,0.18333333333333335
155,indiatodayexclusive loksabhaelections2019 election didi versus people bengal pm narendramodi manogyaloiwal watch live,7,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0.13636363636363635
156,petition questioning rahul gandhi citizenship dismissed sc company form mentions nationality british become british citizen top court bench headed chief justice ranjan gogoi said sabsebadajhootamodi,14,6,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0.16666666666666666
157,arun jaitley part 3 member investigation team probing bofors found evidence rajivgandhi 2004 delhi hc clean chit bjp govt 2018 modi appeal dismissed sc sabsebadajhootamodi shameonpmmodi modilies,15,3,5,1,0,3,0,0,0,0,0,0,0,0,0,0,0.3666666666666667
158,oneplus7pro maharshiday deshkishaanmodi blockbustermaharshi aitheyaasong hbdsaipallavi maharanapratap,5,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0
159,jai shree ram modi modi chanting madan mitra roadshow desh ne man bana liya hai ki abkibaarmodisarkar tmchhi,7,2,4,1,2,0,0,0,0,0,0,0,0,0,0,1,0.0
160,deshkishaanmodi,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
161,lavanyaballal ark82876233 exactly fekendra modi whole country,1,2,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0.225
162,matter part country narendramodi ji addresses rally people attend huge numbers amp chant modi modi enthusiasm 2 weeks results loksabhaelections2019 announced amp deshkishaanmodi pm deshkishaanmodi,14,3,3,0,0,1,0,0,0,2,0,0,1,0,0,0,0.4000000000000001
163,ground report fasal bima yojna pradhan mantri fasao yojna miffed rajkot farmers ready teach bjp lesson noteworthy every farmer points fingers nexus modi government businessmen like anil ambani,17,3,5,2,0,0,0,0,1,0,0,0,0,0,0,0,0.2
164,narendra modi 180 degree prime minister yadavakhilesh indiadecides2019,5,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0.0
165,supreme god kabir appeared satyug name satsukrit sant rampal ji maharaj jeetegatomodihi modihiaayega,8,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
166,regarding modis reference gandhis using indiannavy aircraft carrier ins viraat eighties holiday lakshadweep referring reported time indiatodays anita pratap,13,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
167,sabsabadajhootamodi,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
168,unbearable loneliness narendra modi nmannathukkaren writes via thewire_in lang en,5,2,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0.0
169,sabsebadajhootamodi,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
170,pm modi lists abuses hurled says congress even spare mother via na,4,3,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0.0
171,modionzee 8 pm zeenews sudhirchaudhary narendramodi bjp4india,4,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0
172,utter stupid election gimmick bjp4india dismissed sc narendramodi take rahulkachallenge talk real election issues,8,2,3,0,1,0,0,0,0,0,0,0,0,0,0,0,-0.19999999999999996
173,business depends subscriptions economic success depends publishing stuff readers loven,6,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25
