tweet_id,tweet_text
37,delhi lets run narendramodi ji th pm central park inner circle cp new delhi shri rammadhavbjp ji amp smt smritiirani ji flag run shri kapilmishra_ind amp young benguluru south mp candidate tejasvi_surya lead run modifiedvikas modioncemore
38,  narendramodi
39,vice admiral vinod pasricha dismissed claims narendramodi rajivgandhi naval warship private taxi desperate attempt mislead voters phases won work mr narendramodi sabsebadajhootamodi
40,reasons atul cry foul nehru period foundation laid daddy born indira period born rajiv period groomed mms period supposedly comedian modi period got exposed mistake mistaken funny
41,shri gautamgambhirs vision east delhi deshkishaanmodi
42,life better years ago man modi came power personal life better matter indian air force bombing target life voting improve vote shashitharoor incindia
43,  himalayanzen smritiirani don reason loose amethi need change deliver tk cr bro
44,pm shri narendramodi addressing public meeting dindori maharashtra bharatbolenamonamo
45,man asks bjp spokesperson bjp planning win elections hinduvad amp aatankvad concerned small traders rubikaliyaquat rescue wait big news mamata banerjee said ll slap modi mins
46,  indiatodayexclusive loksabhaelections election didi versus people bengal pm narendramodi manogyaloiwal watch live t
47,petition questioning rahul gandhi citizenship dismissed sc company form mentions nationality british british citizen court bench headed chief justice ranjan gogoi said sabsebadajhootamodi
48,arun jaitley member investigation team probing bofors found evidence rajivgandhi delhi hc clean chit bjp govt modi appeal dismissed sc sabsebadajhootamodi shameonpmmodi modilies
49,  onepluspro maharshiday deshkishaanmodi blockbustermaharshi aitheyaasong hbdsaipallavi maharanapratap
50,jai shree ram modi modi chanting madan mitra roadshow desh ne man bana liya hai ki abkibaarmodisarkar tmchhi
51,  deshkishaanmodi
52,  lavanyaballal ark exactly fekendra modi country
53,matter country narendramodi ji addresses rally people attend huge numbers amp chant modi modi enthusiasm weeks results loksabhaelections announced amp deshkishaanmodi pm deshkishaanmodi
54,ground report fasal bima yojna pradhan mantri fasao yojna miffed rajkot farmers ready teach bjp lesson noteworthy farmer points fingers nexus modi government businessmen like anil ambani t
55,narendra modi degree prime minister yadavakhilesh indiadecides
56,supreme god kabir appeared satyug satsukrit sant rampal ji maharaj jeetegatomodihi modihiaayega
57,modis reference gandhis indiannavy aircraft carrier ins viraat eighties holiday lakshadweep referring reported time indiatodays anita pratap t
58,  sabsabadajhootamodi
59,unbearable loneliness narendra modi nmannathukkaren writes thewire_in lang en
60,  sabsebadajhootamodi
61,pm modi lists abuses hurled says congress spare mother na
62,  modionzee pm zeenews sudhirchaudhary narendramodi bjpindia
63,utter stupid election gimmick bjpindia dismissed sc narendramodi rahulkachallenge talk real election issues
64,business depends subscriptions economic success depends publishing stuff readers loven
65,upa ke time kabhi roohafza khatam nai hua modi ne aapki botal se roohafza nikaal kar ambani ki botal daal dia chowkidar pyasa hai hamari sarkaar aayegi har musaimaan ko saalana pichhattees litre roohafza muft milega chidambaram calculations ab hoga nyay
66,  ins pm narendramodi modihiaayega
67,  sabsebadajhootamodi apt way describe modi ji leave stone unturned amp lengths hide truth people india
68,  myogiadityanath _ _ myogiadityanath narendramodi amitshah yadavakhilesh ndtv bbcworld cnni
69,  jaisriram mamataofficial modiaanewalahai
70,  narendramodi
71,  narendramodi power iron grip institutions hold media narrative ability swing elections modi real power influence minds millions school friends amp relatives literally punch real power
72,pm narendramodi accuses gandhi family warship ins viraat personal taxi holiday rajivgandhi helm loksabhaelections pollswithapn
73,conclusive evidence modi thanos slowed time true picture people throwing chairs seen journos mini avengers escapes eye
74,repeat arvindkejriwal narendramodi
75,evms removed strong room loaded truck amethi ordered opening strong rooms strong rooms supposed sealed till counting day isn
76,  modihiaayega
77,  rabindrajayanti shubho jonmodin dadu
78,fear rahulgandhi makes motormouth narendramodi fumble body language clear indication defeat left running threadmill lies hatred moving josh
79,  modihiaayega narendramodi incindia
80,met year old narendramodi supporter rode moped days km amravati delhi constituencies rajasthan mp haryana etc campaigned pm saying har har modi ghar ghar modi modideshkishaan says
81,modi guilty iaf election campaign trips amp paying iaf pittance return bjp paid non official election trips sabsebadajhootamodi
82,  deshkishaanmodi mlkhattar subhashbrala katariaambala sureshbhattbjp bjpambala
83,abbiamo vinto fascisti sono fuori dal salone del libro con peoplepubit abbiamo tenuto una posizione che qualcuno parsa scomoda ma era comodissima nel sol costituzione ottemperanza ai valori della repubblica iovadoatorino adesso che si pu dire
84,  skpaswa narendramodi
85,  narendramodi deshbolemodiphirse
86,modi
87,  narendramodi naveen_odisha otvnews aajtak fani cyclone bhubaneswar narendramodi naveen_odisha otvnews
88,  sabsebadajhootamodi
89,  mangopeopletalk saala rajiv gandhi ins viraat family holiday saala corrupt ins viraat fighter ship yaar carry fighter planes things rajiv time didn forces modi rajiv time
90,modi dissing generations gandhis elections nehru indira rajiv sonia rahul ofcourse runs maybe modi start dissing priyanka children future naamdaars brought justice pre emptively know
91,ji khalakassmaavaati val arj va ma bainhuma fi sittati ayyaamin summastwa alal arshi arrh maanu fs al bihi khabiran kabiran modihiaayega
92,woman throws slipper navjot singh sidhu speaking modi rally marked modi modi chants opi
93,  news
94,  kahit na mahal na mahal mo yung tao kung di para sayo di para sayo felt
95,  zeenews narendramodi sudhirchaudhary abkibaarkiskisarkar modionzee
96,generally don share times videos vice admiral vinod pasricha retd exposes narendramodi fakery rajiv gandhi saying allegations totally wrong amp official trip
97,vice admiral retd vinod pasricha exposes pm modi lies says pm rajiv gandhi aboard ins viraat official visit visitors protocol sabsebadajhootamodi
98, 
99,brexit party ann widdecombe claims deal brexit compared sacrifice ww ensure britain freedom rtoday
100,  cnnnews narendramodi rahulgandhi electionalert pm narendramodi years
101,  firstpost modiji vulture politics oppositions regional parties playing religious defence patriotism t
102,woman throws slipper navjot singh sidhu speaking modi rally marked modi modi chants
103,girl village intelligent amp honest narendra modi amp followers esp arun jaitley
104,  narendramodi address violence problem west bengal election campaign spe
105,  exclusive pm narendramodi grudge aamaadmiparty conducted cbi raids arrested leaders find pm blocks delhi governments work sanjayazadsln tells cnn newss rupashreenanda electionswithnews loksabhaelections
106,  sirpareshrawal narendramodi abkibaarmodisarkar
107,rahulgandhi rally policeman slaps boy wearing modi mask asks chant chowkidar chor hai power money gandhis corruption bribing police goons real game begin come power
108,  sabsebadajhootamodi
109,bhot hue mahengayi ki maar nhi chahiye hume aisi sarkar mehangipadimodisarkar zeba_yasmeen gujjar_chhora kalikaprasad kakorisalim poojashukla faeqkhan dr_yadavashish nishantraii javedhabibkhan mlarajeshsp vijayya cjeet raheema
110,  watch pm modi purulia mujhe bataya gaya hai ki yahan didi ne kahan hai ki woh modi ko thapad maarna chahti hain didi mamata didi mein toh aapko didi kehta hun aapka aadar karta hun aapka thapad bhi mere liye ashirwaad ban jaayega woh bhi khalunga
111,modi vs mahamilavat gang deshkishaanmodi
112,  deshkishaanmodi
113,  swamy stop entertainment channel comic relief modi ji pm agai
114,mr modi charges rajivgandhi bofors scam quashed
115,  narendramodi deshkishaanmodi
116,  narendramodi abpnewstv pmmodionabp
117,modi mumbles fumbles tired scared
118,  loksabhaelections modihiaayega
119,modi mitro list work d tenure hey mudi tell topi kyu nahi pahani thi babari masood azhar ko kyu chhoda modi ok lemme talk rajiv gandhi errrrrr account work mudi
120,  amitshah hardilmeimodi shahonnews
121,  deshkishaanmodi bjpindia
122,fellow countrymen cr litres sewage litres entering ganga daily cause ganga nallah previous govts busy making money amp cleaning drive past richer amp ganga dirtier narendramodi possible
123,jai ho modi ji
124,good job woman throws slipper navjot singh sidhu speaking modi rally marked modi modi chants opindia news opindia_com
125,  divyaspandana modi obsession gandhi incredible
126,incorrect statements modiji
127,  modionzee nt miss pm narendra modis pure political interview sudhirchaudhary tonight pm zeenews narendramodi bjpindia
128,kolkata day thing lies btwn bjps victory masses unequivocally love modiji fear intimidation mamta goons try spread clearly people overcoming fear voting slogan chup chap kamal chap massive bjp gains sure
129,  madhuparna_et u blind colour blind modi blind
130,polymer modified bitumen pmb market forecast available new report polymer modified bitumen pmb
131,  rajivgandhi ins viraat private taxi pm narendramodi picks story media archive dug twitter user dprarohana handle stands shadow banned
132,wtf modi ji plz stop causing damages
133,  iftikhar _ rrazzaqpmln scorpio un unhumanrights wsj nytimes sushmaswaraj narendramodi razarumi
134,bjp majority lok sabha elections says pm narendra modi exclusive conversation sudhirchaudhary watch modionzee tonight pm zeenews narendramodi bjpindia
135,modiji distraction amp fakery resort indian air force jets taxi paid low iaf jets election trips scared sins haunting shamelessly pointing fingers
136,guttermouth sherryontopp tasted dinosaur eggs face rally people chanted modi modi modi modi pakpremi got balls soundly kicked
137,  sabsebadajhootamodi modi says cong fight terrorism cong rule masood azhar arrested imprisoned hafiz saeed declared global terrorist terrorism kashmir controlled modis pig headed policies kashmir revived terror
138,congress misusing navy defence minister nsitharaman press conference modiinsviraatattack
139,age rajiv gandhi enslaved muslims women islamic zealots passing law overturn shah bano judgement suffer horrors triple talaq halala age modi finally freed women passing law triple talaq criminal
140,  rahulroushan rss bjp isi agents going mental knowing anti india agenda modi quic
141,energetic supporters supporting hon ble pm narendramodi anupampkher piyushgoyal yashodhararaje
142,slap modi aaj tak abp news misreport mamata banerjee statement altnews
143,  narendramodi massive crowd pm modis purulia good bye didi deshkishaanmodi
144,  chattisgarh madhyapradesh rajasthan loan waived days rahulgandhi liar officeofknath said don jadu ki chadi days shame jeetensingh roadindia lillymarypinto singh_harmeet nitinipf modihiaayega deshkishaanmodi
145,mr modi scared s basically outmanoeuvred frankly s political force ve demolished s abusing read cp rahulgandhis interview thetribunechds aditi tandon anshumalini t
146,  deshkishaanmodi providing true grassroots development poor women empowered amp financially strong
147,  rti justmodi rahulkabaapchorhai
148,rd clear government majority bjp modiji people going accept formula creates uncertainty incoherence muralidhar rao deshkishaanmodi
149,liar narendramodi sabsebadajhootamodi t
150,namdar family congress ins viraat personal taxi pm modi raises rajiv gandhis lakshadweep vacation aircraft carrier
151,  narendramodi ji people immense faith trust respect love affection bjp simply deshkishaanmodi thursdaythoughts paraskghelani ji
152,ndtv news channel carry priyankagandhis road split screen pm narendramodis rally touching loyalty nehru gandhi dynasty
153,nero accused gujarat patels pre planning godhra train fire stunt political gains actually reaped nero security lapses intel failure amp zero action leading pulwama massacre modis operandi nomo nero
154,received narendramodi lose mouthful raungi chawal
155,  drrajeshdbhat neerangautam vineet _ romeshnadir jayprakash roadindia kschib ab_bjp prettypadmaja girishalva priyaaryaputri babble reinebow parvathinp onlinerajan _ _ maheshjoshi_mj macharajarao akshathabhattp raniroyrocky kvq
156,namo namo yes bhakto true yes bhakto telling lies bhakto open mouth lie lie lie sabsebadajhootamodi
157,  ins ins sabsabadajhootamodi
158,american support masood azhar un listed terrorist modi agreed american pressure buy oil iran billions dollars amp strategic relationship iran worth declaring masood azhar un listed terrorist
159,pm economic advisory council member emergingroy says india heading structural economic crisis seeing early warning signs acchedin narendramodi promised keeps invoking indian history year record
160,  rajivgandhichorhain tajinderbagga
161,listen speaking times herman_gomes vice admiral vinod pasricha said prime minister statement incorrect modiinsviraatattack
162,rti reveals psus forced spend rs cr bjps sabka saath sabka vikas events modi government misusing taxpayers money publicity political gain said rti activist neeraj sharma t
163,  aayegatomodihi modihaitomumkinhai
164,  piyushgoyal narendramodi stop digging old fake news amp start looking increasing complaints
165, 
166,  ins ins sabsebadajhootamodi
167,  narendramodi west bengal yearning democracy cpi mamta sabotaged bjp win big t
168,rt narendramodi spoke manogyaloiwal issues concerning west bengal watch
169,  reallyswara viratian _ reallyswara didn u asked ki jab aayega modi hi itna karcha karwa ke jo elections ho
170,  divyaspandana narendramodi hello vijay malaya pa link t
171,  ecisveep mamataofficial narendramodi
172,  mamataofficial tmc pm narendramodi kmc
173,  deshkishaanmodi providing true grassroots development poor women empowered amp financially strong
174,government held sanction prosecute g vanzara amp k amin gets special cbi court ahmedabad discharge ishrat jahan fake encounter case nero work rescuing killers amp criminals nomo nero maafimaangomodi zoomkarkedekho
175,ye tera ladka kya kya kehta fir raha hai narendra modi ji ke dil pyaar daalunga bach nahi sakte mere pyaar se modiji mujhe iske lachchan theek nahi lag rahe isse pehle mamla haath se nikle meri maan iski shaadi kara de
176,  sabsebadajhootamodi karnataka elections modi created fictional story nehru sacked general cariappa shameless lie fact rss plotted murder gen cariappa south indian
177,  modihiaayega
178,  amitshah narendramodi bjpindia bjpup uttarpradesh varanasi
179,better country ms mayawati prime minister narendra modi amp rahul gandhi mayawati looking better narendra modi prime minister post prime minister people vote sp bsp rld loksabha elections
180,stefan vogel head commodities rabofoodagri presenting igc grains conference igcconf ta
181,didi ruined bengals heritage pm modi west bengal namo app
182,  drshamamohd utpalghosh watermelon knife par gire ya knife watermelon par kya fark padta katega hi ek baar fir modi jitega nhi congress haregi
183,  sabsabadajhootamodi
184,  sabsebadajhootamodi
185,  rishibagree congressi modi shouldn mention surgical strikes campaigns fauj desh ki hoti hai vyakti ya par
186,  bedtet _ _ nota loksabhaelections bjpindia bjpup narendramodi bjplive pmoindia amitshah amitshahoffice narendramodi_in myogiadityanath cmofficeup drdineshbjp upgovt rssorg jpnadda sureshkkhanna
187,  sadhavi narendramodi nt india today confirmed details story
188,inc campaign far runs like abuse modi abuse savarkar abuse godse abuse rss sangh abuse modi msm intellectuals outraged savarkar dead gone dusted modi raises tera baap chor hai suddenly morality comes
189,warm meeting pm modi amp divyang person varanasi deshkishaanmodi
190,  modihiaayega
191,  mohfw_india wewanttojoinanatomy wewanttobeteachers futureonstake year nos vaccant seats time jpnadda mohfw_india pmoindia narendramodi fordaindia abpnewstv aajtak toiindianews pib_india subrah
192,modi guilty iaf election campaign trips amp paying iaf pittance return bjp paid non official election trips chandigarh shimla annadale chandigarh trip paid
193,canadian bhatia insignificant second rate actor leave modi second power think amitabh bachaan embarrassing bigoted canadian kumar giving tough fight
194,gdp gas diesel petrol modikafakegdp
195,pm modi spent rs cr public money touring world combined official trips unofficial ones amp billed taxpayer blatantly lying breaking rule comes easy modiji
196,modi wants talk nehru rajiv mountbatten cornwallis hastings minto heres thread stories nt want talk
197,watch massive rally crowd etches long trail gives rousing welcome pm modi helicopter lands west bengal bankura read t
198,  narendramodi deshkishaanmodi
199,  kanimozhi keralacastro anilindian kuvalayamala hkupdate girishalva chathootti prafullaketkar excomradekerala prof_hariom ranganaathan jspandey _ savesabrimala ensine sagenaradamuni maheshjoshi_mj jsaideepak advmonikaarora shefvaidya sgu
200,  sabsabadajhootamodi
201,  narendramodi
202,  major claims prime minister narendra modi years true t
203,  narendramodi modifiedvikas kapilmishra_ind tajinderbagga p_sahibsingh
204,  gst sabsebadajhootamodi
205,  gaalipolitics narendramodi narendramodi
206,  mayankredkop prove rafael ll sure stand maligning modi let talk
207,  defencepk narendramodi evm evm dna _ _ dna _
208,ve got rajiv gandhi swiss bank account number said vp singh election rally patna showing piece paper crowd promised reveal bofors beneficiaries days power swiss bank black money sounds familiar sabsebadajhootamodi
209,  sabsebadajhootamodi
210,exclusive saga narendra modis vindictiveness bureaucrat wants fight corruption mistake took modi na khaunga na khane dunga slogan face value sanjiv chaturvedi t
211,  narendramodi
212,advised narendramodi drag pm rajiv gandhi middle elections happened time years sitting pm insulting martyr pm whosoever advised modi sure wisher backfired
213,rssorg told narendramodi amitshah bjpindia comes constitution tweaked reflect indias new majoritarian ethos secularism hate excised bainjal
214,lets save soul elder sister currently suffering chronic kidney diseases goiter infection currently going weekly hemodialysis nisa hospital abuja suffered kidney disease years
215,modi shah fighters ve won seats relent rd spirit indian civilisation lacked millennia
216,narendramodi bhakts new poster girl italian stringer francescam foreign media corroborating bjpindia claim killing hundreds jihadis balakot note twitter handle includes france scam rafale coincidence
217,ranjith vadiyala asks sree iyer opinion narendramodi govt rvaidya sree iyer modi govt year term essential things govt cabinet
218,history pm brazenly lied late pm chosen new topic lie latest rajiv gandhi went holiday extended family ins viraat vice admiral retd vinod pasricha clarified sabsebadajhootamodi
219,  ashokgehlot narendramodi amitshah vasundharabjp ra_thore
220,  deshkishaanmodi
221,  deshkishaanmodi feel cheated computer baba brought rally monster sadhus feel accidentally campaigning digvijaya singh sadhvi pragya reasons happy
222,sick person mr modi spreading false things rajiv ji vice admiral dismisses lies rubbish sabsebadajhootamodi
223,modiji holding cards appropriate time needs learn bringing vario
224,  narendramodi deshkishaanmodi
225,tribute sons soil people till soil life relationships success family farming maharshi glory ysjagan ktrtrs narendramodi directorvamshi urstrulymahesh
226,worked net gdp growth adjusting fake companies want bet negative growth past years totally exposed nehru indira rajiv nt help kerala guys got right time pomonemodi
227,  bjpindia ones modi
228,having failed deliver development fronts pm modi adopted new technique campaigning election rallies attacking pm rajiv gandhi
229,  narendramodi beloved pm perfect example taare asman se uppar chai se sou crore ka chokidhar tak t
230,congress leader randeep surjewala hit pm modi accusing making iaf jets taxi itvideo loksabhaelections videos t
231,pm modi interview aaj tak campaign purulia west bengal deshkishaanmodi
232,modi ji rakes issues divert peoples attention failures world witness important leaders globally late shri rajiv gandhi ji sabsebadajhootamodi
233,  sabsebadajhootamodi
234,  modionindiatv ramadan pm amitshah cmohry
235,hey squinty master feku modi went pakistan invitation performed mujra nawaz sharif house modi pakistani stooge
236,  narendramodi
237,  modihiaayega
238,  sabsebadajhootamodi
239,  modihiaayega bjpindia
240,  sabsebadajhootamodi
241,  deshkishaanmodi
242,years modi better past pm past pm worse modi hmm comes thing guess
243,  prettypadmaja jhasanjay gone mad simply mad modiji allowed rafale blowing knowing fall flat know nuts whn national security matters death nail baba misdeeds bhago kahan bhagoge
244,  deshkishaanmodi
245,  ilficca _ rotefuchs ho anche lardire di aspettare finch non sia entrata nel portone esistono altri modi
246,use warships vacations nehru gandhi family pm modi quotes limited rajiv gandhi misusing friends italian family malaise started nehru pics nehru indira young rajiv amp sanjay vacationing aboard ins delhi
247,dubejiinc rt divyaspandana modis election agenda sabsebadajhootamodi
248,jab aap kisi se prem krte hai toh uski burai apku dikhai nhi deti hai like modi bhakt don mind
249,  modi wapas ayega ghar ghar bhagwa chaega jai shri ram jai shri ram puralia west bengal mamata scared repressing hinduism biting hard
250,  jharkhandbolemodimodi
251,bathong ba modimomixwell ke sefane sa tota yhu ha thought got started djing coz mixed
252,sure burger king real meals real hoax way doubly offensive workers spatula writers commodifying depression combine profit motive depression things struggle ramadan mock reli
253,  electionalert promised crore jobs jobs according parliament report reduced unemployment west bengal cent challenge pm narendramodi debate indias history papers teleprompters mamataofficial
254,  sabsabadajhootamodi
255,  cibil cibil_official rt narendramodi drrizwanahmed sardanarohit
256,  kejriwalchewtiyahai arvindkejriwal msisodia modihiaayega delhiwithmodi
257,soon modi shared india todays article corrupt rajiv misusing ins virat updated nt worry aroonpurie ss old article
258,  rahulgandhi sabsebadajhoothamodi
259,  pm narendramodi
260,pm narendramodi today lauded india today tv reporter manogyaloiwal bengal courage loksabhaelections
261,million car electric dream spurs smoggy poland grasp musk polands million car goal unrealistic execu
262,pac said bring climax sex type love need
263,  deshkishaanmodi
264,  onepluspro maharshiday deshkishaanmodi blockbustermaharshi aitheyaasong hbdsaipallavi maharanapratap
265,swara surgical strikes swara incindia supporter swara aamaadmiparty supporter swara deshdrohi supporter swara truth supporter justmodi
266,  cammodisane effsouthafrica m worried regarded spoilt ballot
267,modi wave journo nahi hai people removing chairs accommodate people stand journo
268,  deshkishaanmodi
269,  modihiaayega t
270,  sir aapke saansado ne pichle saal delhi kya kia modi abey wo chhodo kaam ki baat suno mai tumhe batata hu rajiv gandhi ne kya kya kia
271,  kanimozhi keralacastro anilindian kuvalayamala hkupdate girishalva chathootti prafullaketkar excomradekerala prof_hariom ranganaathan jspandey _ savesabrimala ensine sagenaradamuni maheshjoshi_mj jsaideepak advmonikaarora shefvaidya sgu
272,bjp tv narendramodi anubhavshukla rssorg amitshah myogiadityanath yadavakhilesh
273,seriously narendramodi trashing nangafying chinese gandhis abusing powers abusing navy navy ship like private taxi rajivg foreigner laws board takes foreigners aboard navy ships shameful
274,modi ji discovered time machine s fighting general election amp rajiv gandhi principal rival oh
275,  photo server_podivan
276, 
277,rare videos modi modi supplemented jai shri ram
278,  phirekbaarmodisarkar modiagainsaysindia modihiaayega modihaikaamdar loksabhaelections narendramodi modiwave
279,  narendramodi campaigning eiffel tower france indians hear modi modi chants deshkishaanmodi
280,kal ko modi ji ko vadnagar jaana ho toh wo rafale mein baith ke ja sakte hain
281, 
282,rahul gandhi welcome debate modi learns speak truths don incur consequence retraction amp repeated unconditional apologies supreme court given concoctions amp heat moment juxtaposition borrow apology
283,swara aunty rape politicise surgicalstrikes politicise sonam aunty role deshkishaanmodi aayegatohmodihi payalrohatgi
284,  narendramodi modi wapas ayega ghar ghar bhagwa chaega jai shri ram jai shri ram puralia west bengal mamataofficial scared
285,  ins ins sabsebadajhootamodi
286,  msopmodii _ opening box getting ok
287,  ayegatohmodihi
288,  narendramodi modihiaayega bjpdelhi
289,  renukajain laxit_parsana narendramodi strong feeling gargoyles andromeda galaxy conspiring modi defeated intense bhakti save
290,assumed pretty slept jace matter time sleep t
291,stop looking loser ugly eyes don deserve want look step use bratprincess vice chasity step send step ll obey find lockedinlust
292,  digvijaya _ reply sadhvipragya_mp deshkishaanmodi
293,  modihiaayega
294,gs smt priyankagandhi gave modi ultimate challenge fight phases lok sabha elections demonetisation gst crime women amp false promises nation youth
295,instead punishing guilty riots congress rewards pm modi nam
296,wo nt narendramodi election real issues achievements wo nt talk demonetisation claimed desh cos failed miserably election agenda defame leaders desh ka sabsabadajhootamodi
297,  idatexell om agenda mlartinget om vi ska lyckas med agenda behver alla engagera sig det en laginsats och vi behver ha modiga ledare globalatrender hllbarhetsmlen
298,  amitshah bjpup fortunate pm like modi deshkishaanmodi
299,  jharkhandbolemodimodi
300,  watch pm modi purulia mujhe bataya gaya hai ki yahan didi ne kahan hai ki woh modi ko thapad maarna chahti hain didi mamata didi mein toh aapko didi kehta hun aapka aadar karta hun aapka thapad bhi mere liye ashirwaad ban jaayega woh bhi khalunga
301,  phirekbaarmodisarkar
302,  narendramodi govts strategic plan helped open janaushadhikendras amp deliver medicines half market price strategic push resulted estimated savings rs crores public namo
303,mr modi fool people time retd vice admiral vinod pasricha busted pm modi fakery rajiv gandhi saying allegations modi totally false amp fabricated sabsebadajhootamodi
304,exclusive hindustan paper corporation salaries unpaid years employees approach nhrc modi govt read t
305,retd vice admiral lambasts pmmodi ins viraat allegation claims rajivgandhi official visit sabsebadajhootamodi
306,explosive ex fauji rips congress delusional surgicalstrike theory apart shame congress bigger shame ex pm sonia stooge dr manmohan singh blot chair pm world largest democracy congressneveragain deshkishaanmodi
307,modi overrated politician
308,  deshkishaanmodi
309,shamelessly modi lying rajiv gandhi pathological liar going win indian people accept insulting departed people modi going lose time sabsebadajhootamodi
310,nehru rajiv gandhi modi spreading misinformation vice admiral retd vinod parischa sets record straight rajiv jis travel aboard ins viraat exposes modis lies shame pms post sabsebadajhootamodi
311,  years incindia gt years bjpindia years modi times gt years congress
312,  sabsebadajhootamodi
313,anti hindu omarabdullah nc approaches jkhc seeks withdrawal amendment article gave reservation economically weaker hindus jammu govt jobs amp education hc issues notices union govt amp govt narendramodi govt amended feb
