index,tweet,countnoun,countverb,countadj,countadp,countadv,countnum,countaux,countconj,countdet,countintj,countpart,countpron,countpropn,countpunct,countsconj,countx,sentiment score
151,  narendramodi ji people immense faith trust respect love affection bjp simply deshkishaanmodi thursdaythoughts paraskghelani ji,10,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0.16666666666666666
152,ndtv news channel carry priyankagandhis road split screen pm narendramodis rally touching loyalty nehru gandhi dynasty,13,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5
153,nero accused gujarat patels pre planning godhra train fire stunt political gains actually reaped nero security lapses intel failure amp zero action leading pulwama massacre modis operandi nomo nero,16,8,2,0,2,1,0,0,0,0,0,0,0,0,0,0,-0.054166666666666675
154,received narendramodi lose mouthful raungi chawal,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
155,  drrajeshdbhat neerangautam vineet _ romeshnadir jayprakash roadindia kschib ab_bjp prettypadmaja girishalva priyaaryaputri babble reinebow parvathinp onlinerajan _ _ maheshjoshi_mj macharajarao akshathabhattp raniroyrocky kvq,14,4,2,0,0,0,0,0,1,0,0,0,2,0,0,0,0.0
156,namo namo yes bhakto true yes bhakto telling lies bhakto open mouth lie lie lie sabsebadajhootamodi,9,2,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0.175
157,  ins ins sabsabadajhootamodi,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
158,american support masood azhar un listed terrorist modi agreed american pressure buy oil iran billions dollars amp strategic relationship iran worth declaring masood azhar un listed terrorist,14,5,5,1,0,0,0,0,1,1,0,0,0,0,0,0,0.09999999999999999
159,pm economic advisory council member emergingroy says india heading structural economic crisis seeing early warning signs acchedin narendramodi promised keeps invoking indian history year record,12,6,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0.16666666666666666
160,  rajivgandhichorhain tajinderbagga,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
161,listen speaking times herman_gomes vice admiral vinod pasricha said prime minister statement incorrect modiinsviraatattack,8,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
162,rti reveals psus forced spend rs cr bjps sabka saath sabka vikas events modi government misusing taxpayers money publicity political gain said rti activist neeraj sharma t,14,7,6,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.15000000000000002
163,  aayegatomodihi modihaitomumkinhai,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0
164,  piyushgoyal narendramodi stop digging old fake news amp start looking increasing complaints,6,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.2
165, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
166,  ins ins sabsebadajhootamodi,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
167,  narendramodi west bengal yearning democracy cpi mamta sabotaged bjp win big t,7,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4
168,rt narendramodi spoke manogyaloiwal issues concerning west bengal watch,3,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
169,  reallyswara viratian _ reallyswara didn u asked ki jab aayega modi hi itna karcha karwa ke jo elections ho,12,1,2,0,0,0,0,0,1,1,0,0,0,1,0,1,0.0
170,  divyaspandana narendramodi hello vijay malaya pa link t,3,2,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0.0
171,  ecisveep mamataofficial narendramodi,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
172,  mamataofficial tmc pm narendramodi kmc,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
173,  deshkishaanmodi providing true grassroots development poor women empowered amp financially strong,3,2,4,0,1,0,0,0,0,1,0,0,0,0,0,0,0.12777777777777774
174,government held sanction prosecute g vanzara amp k amin gets special cbi court ahmedabad discharge ishrat jahan fake encounter case nero work rescuing killers amp criminals nomo nero maafimaangomodi zoomkarkedekho,21,5,2,0,0,0,0,0,1,0,0,0,0,0,0,1,-0.07142857142857142
